model,task,metric_name,mean,std
random_forest,regression,MAE,0.7927623182044877,0.04926335493387041
random_forest,regression,RMSE,1.902434290583394,0.5509230901589998
random_forest,regression,R2,0.9691176476618795,0.0189512096033313
random_forest,regression,CCC,0.9843285202174217,0.009526027074647055
random_forest,classification,Accuracy,0.5113478713257609,0.015745579072602912
random_forest,classification,F1_Weighted,0.5110416918221012,0.01582776895510239
random_forest,classification,Kappa,0.022722468535857198,0.031467738940874006
random_forest,classification,AUC,0.512835657591902,0.013619077791409296
xgboost,regression,MAE,0.6204142571630372,0.049684680530205236
xgboost,regression,RMSE,1.4565823551413204,0.4170997896817828
xgboost,regression,R2,0.9820507960802006,0.011179470768218718
xgboost,regression,CCC,0.9909056680428708,0.005667557995086389
xgboost,classification,Accuracy,0.5146416803953872,0.0060721176695252045
xgboost,classification,F1_Weighted,0.5074253068172933,0.014141184201309115
xgboost,classification,Kappa,0.029341243440652476,0.012107236648574889
xgboost,classification,AUC,0.5226134281321138,0.008649468275671836
svm,regression,MAE,1.0741057754407148,0.045458533927782686
svm,regression,RMSE,1.7829554356457895,0.09614536680375438
svm,regression,R2,0.9752964353732413,0.002584424055155056
svm,regression,CCC,0.9870758990948476,0.0013479140392057612
svm,classification,Accuracy,0.50839655770398,0.016557716316180273
svm,classification,F1_Weighted,0.5076364546358954,0.016570607316416554
svm,classification,Kappa,0.01683379910288898,0.03315761734619917
svm,classification,AUC,0.5135572440987174,0.011559036220623532
ridge,regression,MAE,0.9075613690951565,0.16162451039337336
ridge,regression,RMSE,2.9953003780225247,0.9607707889138515
ridge,regression,R2,0.9214507844167468,0.04410291542149587
ridge,regression,CCC,0.9618814355489764,0.020078086941874893
ridge,classification,Accuracy,0.4952272825804214,0.018885807548589855
ridge,classification,F1_Weighted,0.4949799534006837,0.018968623331925557
ridge,classification,Kappa,-0.009569201684525953,0.03777704115026081
ridge,classification,AUC,0.5072956235201083,0.019149348434488327
mlp,regression,MAE,1.1327751975840135,0.12367602302016009
mlp,regression,RMSE,1.8655643657408487,0.26759548031766756
mlp,regression,R2,0.972505061077668,0.007352166353977711
mlp,regression,CCC,0.9853350784097914,0.004070610893864924
mlp,classification,Accuracy,0.5120122691407266,0.03282814763244973
mlp,classification,F1_Weighted,0.5110075201682418,0.03264400508135467
mlp,classification,Kappa,0.024081641367023288,0.06566558855310203
mlp,classification,AUC,0.52323435771555,0.025160249008706517
lightgbm,regression,MAE,0.6507263357462326,0.044436852966136677
lightgbm,regression,RMSE,1.5011039297158668,0.33432692921152674
lightgbm,regression,R2,0.9815284703115825,0.008420518379956207
lightgbm,regression,CCC,0.9906601081411262,0.004261056117356887
lightgbm,classification,Accuracy,0.5024771308419318,0.018062730143932223
lightgbm,classification,F1_Weighted,0.5023640789814683,0.01802518850264954
lightgbm,classification,Kappa,0.0049608879184570576,0.03613573316779799
lightgbm,classification,AUC,0.5126305618789025,0.02030505575619681
